id,task_type,steps,tool_rounds,tool_calls,unique_tools,skill_calls,parallel_rounds,max_parallel_calls,explicit_error_observations,tokens,trainable_tokens
react_vs_079fff0fb5afc6b3,VS,38,37,92,15,9,15,6,4,103696,41522
react_vs_cc18e15e7fbf6d3b,VS,30,29,92,12,8,19,5,9,98554,35653
react_vs_dcc1ded8186cb555,VS,33,32,86,13,7,14,6,9,84809,29079
react_vs_37f452ba8e9e1aa9,VS,31,30,86,12,7,8,10,0,94173,34088
react_vs_d09b4367660283b8,VS,30,29,81,14,8,12,6,2,93872,34858
react_vs_a3ecb91cfcb26289,VS,21,20,78,12,6,10,10,3,94210,36277
react_vs_1413aa72a9b9c89d,VS,29,28,80,13,7,12,6,2,95659,38331
react_vs_42aeb44ae466f84c,VS,44,43,94,16,10,12,6,6,141430,80850
react_vs_37e6b5725b4c77e4,VS,57,56,104,16,9,13,5,11,102830,37083
react_vs_bbcf03713dfc986f,VS,36,35,95,17,9,12,10,9,140230,73065
react_vs_8277bb032757a107,VS,28,27,87,13,7,12,10,5,104169,38697
react_vs_b2c1b06b9566ad94,VS,53,52,111,17,10,14,6,30,117162,46758
react_vs_1e06daed9d62b9d6,VS,30,29,85,15,9,9,10,1,106925,43340
react_vs_115e57cf9456e0c2,VS,29,28,81,14,7,13,6,3,90336,31975
react_vs_c3c1aef0a061dda5,VS,44,43,96,17,10,16,5,13,108866,44979
react_vs_19602272fe8a8d06,VS,27,26,81,13,8,8,10,3,98051,39269
react_vs_dbda724bdcf42006,VS,23,22,80,12,8,10,10,4,82480,24282
react_vs_ff2e5ea9d1dae5e1,VS,34,33,87,14,8,14,6,6,91461,32633
react_vs_2a66a0c5a9748b99,VS,39,38,87,13,10,14,5,12,100971,40437
react_vs_216d4852ad8e52d5,VS,33,32,108,13,8,19,10,3,106695,46475
react_vs_984ffc5cbf8bca0c,VS,35,34,85,13,8,15,5,3,95694,37408
react_vs_ea3f0c327a46e5a6,VS,30,29,85,12,8,16,6,2,96555,38732
react_vs_a37f86288f3b3958,VS,39,38,90,16,8,12,6,8,129709,70794
react_vs_e8bdd399b23b3ce8,VS,24,23,75,11,6,12,6,3,85385,30151
react_vs_1cc14b006ef60030,VS,43,42,129,13,9,12,10,33,104796,35138
react_vs_b7af473f6a7d4fa5,VS,35,34,89,14,8,8,10,12,109601,42021
react_vs_10f7f65b55ea63c5,VS,39,38,42,14,8,4,2,17,74913,15037
react_vs_8f763bebdbf9c98a,VS,25,24,33,12,7,8,3,14,66712,13824
react_kg_65fbeb401d835b24,KG,34,33,56,17,12,9,4,9,102521,29654
react_kg_cd8a85b7b387e804,KG,33,32,51,17,13,14,5,13,89931,24748
react_kg_706c70a60b81e10e,KG,25,24,40,16,11,12,4,3,83842,19176
react_kg_0f4c3b09f4b81897,KG,45,44,48,17,11,4,2,5,99396,39483
react_kg_b05ecebe6260372d,KG,24,23,32,13,6,3,4,1,71454,19036
react_kg_83d691ac99045aee,KG,15,14,25,8,6,4,7,2,68281,12012
react_kg_20018a01c46bdcde,KG,30,29,39,15,9,6,4,4,80169,19566
react_kg_140c6a36d8ece6a4,KG,14,13,17,7,3,4,2,2,64441,18225
react_kg_578c02f50f217e74,KG,13,12,15,9,4,3,2,0,50840,8020
react_kg_a3dd213d92a7a083,KG,33,32,43,12,7,7,3,4,111721,38514
react_kg_fd7d333c61365644,KG,22,21,34,9,8,8,6,0,99719,25726
react_kg_727e384e60064c42,KG,7,6,11,5,6,2,5,1,48610,5042
react_kg_8b63f4581e682450,KG,45,44,44,16,9,0,1,0,93042,36775
react_kg_a32a9c4d15ebd7e7,KG,10,9,16,8,5,4,4,0,56866,10793
react_kg_caa52c2117f63278,KG,33,32,70,13,8,4,20,8,106322,30154
react_kg_3e3ec1ff59cc2e85,KG,6,5,11,5,6,3,5,0,56614,2854
react_kg_f540b0d79d18ec9c,KG,17,16,36,11,8,10,6,2,75180,14723
react_kg_d8ad3864d18a797a,KG,30,29,61,14,9,17,4,8,114854,35672
react_kg_bfdefc7cab7c21ce,KG,20,19,27,11,8,5,5,0,66864,9970
react_kg_6635fdc6bccea712,KG,17,16,31,10,7,10,6,3,68121,9864
react_kg_00d86c196654705a,KG,9,8,21,11,5,4,8,9,51146,3696
react_kg_0cd8805b73dd2f7b,KG,14,13,24,4,2,7,5,8,59386,10730
react_kg_dfbdcecd158af946,KG,18,17,33,9,6,10,4,3,72384,13576
react_kg_6ec97ffe63a4c7f6,KG,45,44,59,19,15,10,4,16,102293,28403
react_kg_1be3b084c71a8c1c,KG,9,8,10,6,3,1,3,0,53115,11012
react_kg_0e836a34e4cdb4ca,KG,6,5,7,5,3,2,2,0,44094,2236
react_kg_b4cbc7b8550a0ee5,KG,29,28,49,14,9,13,4,7,85582,22056
react_kg_b98c972b9210c604,KG,16,15,19,10,5,3,3,5,57832,6335
react_kg_462f24a321451ef0,KG,4,3,7,3,5,1,5,0,50722,2576
react_kg_7121d22abe25b0f4,KG,13,12,32,8,6,7,5,0,80368,19879
react_kg_a20d3108524ab9e3,KG,4,3,5,4,2,2,2,1,41623,1052
react_kg_8aa6b11ba5dcf342,KG,15,14,19,9,5,4,3,1,57473,8237
react_kg_2675da2d090213a5,KG,20,19,27,11,8,3,5,3,69679,13969
react_kg_b0e7cdd73eb03f42,KG,9,8,12,5,3,2,3,0,58572,9203
react_kg_9ff64ad1d7060783,KG,27,26,34,12,9,4,3,5,73104,13472
react_kg_41b29588e353f59b,KG,8,7,22,5,4,5,5,6,71079,13366
react_kg_f24d16d5d7e032c1,KG,8,7,16,6,4,3,6,0,45742,2919
react_kg_dba61e684594dc5d,KG,26,25,37,11,7,8,5,7,78800,15330
react_kg_c2b7261721ff45ed,KG,3,2,2,2,1,0,1,0,40361,567
react_kg_c2e1c07b3da833aa,KG,6,5,5,3,2,0,1,2,42020,1469
react_kg_533ce3f2b433de05,KG,5,4,12,7,6,4,4,0,45452,1791
react_kg_414e16e2dc83b2cf,KG,8,7,12,5,4,3,4,3,46115,3317
react_kg_47f577540b4ec70b,KG,3,2,4,2,3,1,3,0,41681,919
react_kg_a933e61f5cd33758,KG,16,15,35,8,6,12,4,2,82824,23279
react_kg_932947e0956598d9,KG,7,6,10,6,5,3,3,1,55755,3660
react_kg_9d1638b51c5fede0,KG,16,15,27,11,7,7,6,3,58880,10064
react_kg_01216ddf7feb97b4,KG,16,15,33,10,7,9,6,4,71642,13141
react_kg_fceb2cbfe0ba87f6,KG,5,4,7,4,3,2,3,0,45521,3272
react_kg_d4dcbfa2d8c31f10,KG,33,32,46,15,9,5,6,5,93475,27460
react_kg_3a5a3f4aa70257e6,KG,12,11,34,14,11,6,8,0,73248,14487
react_kg_28b4f81be45c7dd5,KG,13,12,22,9,7,7,3,4,55236,9086
react_kg_1120a2239d65d4cd,KG,7,6,11,7,4,2,4,0,50577,8298
react_kg_ae8ff31889a13452,KG,13,12,14,7,4,2,2,2,67695,17911
react_kg_0cb472e8ef6b64a3,KG,17,16,33,8,3,7,5,0,78772,26861
react_kg_c60e16e1ff33495a,KG,32,31,43,18,12,7,6,3,85627,18087
react_kg_98345b5857b43007,KG,6,5,6,4,3,1,2,2,48643,1870
react_kg_2e418954eb3eb0d0,KG,15,14,17,9,5,2,3,7,57741,8729
react_kg_d703a122cf14349c,KG,3,2,4,3,2,2,2,0,41338,813
react_kg_e32891fd23280800,KG,3,2,2,2,1,0,1,0,40437,522
react_kg_5066f4dbb9a1fc8d,KG,39,38,48,20,15,10,2,12,85351,18644
react_kg_1c54f3031a18daea,KG,28,27,46,20,16,10,4,6,87607,21672
react_kg_3abd558fbc420a04,KG,29,28,50,15,11,15,4,3,87677,20815
react_kg_d2d87887ca29e9da,KG,15,14,29,11,6,8,4,0,86411,24464
react_kg_799846eed6a21fd4,KG,9,8,17,7,5,4,6,0,58880,4514
react_kg_db99905886c18430,KG,36,35,43,12,8,4,5,9,81265,20655
react_kg_f44fb27f258190b4,KG,18,17,29,13,10,9,5,1,70213,12418
react_kg_f072ee9cd5db57fb,KG,29,28,46,10,6,8,5,9,93957,38727
react_kg_fd822602c7991dd5,KG,29,28,31,10,8,3,2,9,92098,37754
react_kg_04598dad581eb466,KG,38,37,56,17,13,13,4,3,150358,77246
react_kg_a332e78f0393014a,KG,11,10,18,7,4,5,3,0,52178,9036
react_kg_9583de2730082bd3,KG,40,39,51,10,5,8,5,6,122607,63936
react_kg_e3b46febac69d46b,KG,22,21,35,12,9,5,6,0,121704,60629
react_kg_e8256ce9ec11259b,KG,17,16,24,11,7,5,3,0,103240,47638
react_kg_63c90f933d1fb4d9,KG,44,43,56,14,9,10,4,21,83510,26309
react_kg_cbc213d46d778b07,KG,21,20,37,9,6,7,8,1,102062,42407
react_kg_f0c3e65c6de23440,KG,14,13,13,6,4,0,1,1,59644,17648
react_kg_a4e6d57dbc85b096,KG,14,13,14,7,4,1,2,0,58332,8780
react_kg_94dd7118a64a3090,KG,13,12,16,7,4,3,3,2,53569,11585
react_kg_65ec1748901886ff,KG,38,37,65,11,8,16,5,5,135454,62394
react_kg_a84ec228f0a1e982,KG,44,43,54,13,8,9,3,6,171779,103116
react_kg_ade54a727f029478,KG,32,31,43,14,10,10,3,4,122976,63594
react_kg_5efbaa1c8eca2dba,KG,30,29,33,11,6,4,2,6,78417,30466
react_kg_d1841101576a4dc6,KG,29,28,36,14,8,6,4,5,94478,37252
react_kg_c6c2a9dab76c8b45,KG,33,32,41,14,10,9,2,3,144149,77569
react_kg_684fe7f156969ecc,KG,33,32,37,10,7,4,3,3,101634,43756
react_kg_8cee545815baa3ad,KG,37,36,42,15,11,6,2,3,88991,28361
react_kg_c1cb8dde8caa45d5,KG,14,13,16,7,4,3,2,2,58746,15503
react_kg_f072782fae3f24d5,KG,32,31,33,13,7,2,2,3,178682,126881
react_kg_bd0eb04c7dbb10d9,KG,26,25,32,12,9,5,4,3,121255,61044
react_kg_c55d08092da64db1,KG,22,21,33,13,7,6,4,2,96203,37446
react_kg_a4034e86a3422ba3,KG,31,30,47,13,10,13,4,0,134955,71682
react_kg_3112db7acd8666e9,KG,24,23,29,13,6,4,4,2,85808,35130
react_kg_ba818ed97e448a2a,KG,33,32,77,11,9,16,6,6,144332,59647
react_kg_b0a2c4a6fab33bd9,KG,21,20,21,8,4,1,2,0,102740,54568
react_kg_d00c21ac26ce135c,KG,19,18,32,15,13,7,5,1,84042,32460
react_kg_2a6787b8b9e334da,KG,37,36,41,13,9,5,2,8,114868,58148
react_kg_0e489e63fba63282,KG,26,25,28,10,6,3,2,2,131622,80281
react_kg_84430596aa9c8605,KG,7,6,9,6,4,3,2,0,47467,5823
react_kg_7ca253c2127a1eaa,KG,9,8,11,7,4,2,3,0,52827,9639
react_kg_c8a08e915225cb51,KG,12,11,12,7,3,1,2,0,53569,9210
react_kg_d4de17282df35466,KG,24,23,43,14,9,11,6,5,111243,47000
react_kg_f9aaf48534e3ee36,KG,29,28,79,21,16,15,8,8,100136,28116
react_kg_a162d594124d7c6b,KG,53,52,52,15,10,0,1,8,93851,21996
react_kg_de86fdffc2563cc8,KG,68,67,124,19,11,13,9,12,133516,58970
react_kg_d20e2aaf3e592163,KG,34,33,52,16,11,10,6,2,98394,24979
react_kg_8a730c4ada896fbd,KG,19,18,23,12,8,2,5,6,79034,23410
react_kg_aec44f7deaf5d9ad,KG,30,29,29,8,5,0,1,1,83256,31259
react_kg_de81041817085dc9,KG,24,23,33,14,10,6,4,3,85429,19451
react_kg_de7c1a4900f18ac4,KG,58,57,57,23,19,0,1,10,115490,39696
react_kg_a844be168c9f1d8e,KG,74,73,73,27,16,0,1,14,125155,35653
react_kg_e3fd1e36c0891214,KG,34,33,48,17,10,9,6,6,91439,23610
react_kg_681ebdec948a2a28,KG,23,22,43,19,13,8,6,0,80681,15414
react_kg_9bcb28b0f49ce8b7,KG,30,29,42,13,7,8,4,10,75879,20771
react_kg_3fc268210966ede0,KG,20,19,30,11,6,7,6,0,78142,12627
react_kg_cc0545865b756bba,KG,12,11,13,8,4,1,3,0,55171,9276
react_kg_9368fc629c8a4b0a,KG,40,39,39,16,9,0,1,5,87596,18799
react_kg_36a8ad397a6c0f67,KG,29,28,55,16,9,12,9,3,109145,37301
react_kg_e638d09aba93996b,KG,37,36,60,21,14,11,5,17,92219,19553
react_kg_7341a75c9ab0f9c8,KG,16,15,24,9,6,5,4,0,73388,16278
react_kg_7522cd3d4e19545e,KG,12,11,20,9,5,4,4,0,59776,10123
react_kg_1e460efb9a380c72,KG,25,24,37,17,12,8,4,0,70298,14019
react_kg_5ad25c059104c712,KG,45,44,44,16,10,0,1,3,95563,27989
react_kg_daa2d2879bc5b1fd,KG,22,21,42,12,9,10,5,2,85480,16819
react_kg_a43b93ebce54f1a4,KG,13,12,12,7,3,0,1,0,54033,8291
react_kg_c24a3e7991f6e7b4,KG,19,18,45,13,8,9,12,2,100929,43468
react_kg_83ada53da085cc48,KG,21,20,38,18,14,7,5,1,75488,18534
react_kg_ce1adbc83e46128b,KG,19,18,18,9,5,0,1,0,57507,9198
react_kg_710fe9112169dcc6,KG,15,14,16,8,5,1,3,1,62153,10929
react_kg_c89704720ecd30a6,KG,54,53,63,24,16,6,5,10,101204,27725
react_kg_7f8c60e35e2f8637,KG,17,16,21,10,5,2,4,0,78800,33851
react_kg_59a48af9da7b5ab6,KG,21,20,24,13,9,4,2,1,57335,7832
react_kg_23c414b3ac5bf659,KG,38,37,37,12,6,0,1,1,82587,30529
react_kg_a3fe2af3c5b56ef3,KG,15,14,30,7,4,7,4,2,73784,19062
react_kg_ff48c96231e611ed,KG,32,31,61,14,10,21,5,4,111607,37583
react_kg_8b85801eddc706d0,KG,23,22,22,10,7,0,1,1,59250,10004
react_kg_592b566236f8e365,KG,42,41,47,18,12,6,2,9,91891,27562
react_kg_f7bacb031a983b0c,KG,15,14,17,9,5,3,2,0,55225,12495
react_kg_5fd844f41340105b,KG,13,12,14,8,5,1,3,0,56502,6826
react_kg_00c3c5b6651acec3,KG,9,8,13,8,3,3,4,0,49245,6267
react_kg_516a22c46a9bf44c,KG,29,28,35,11,7,7,2,0,144779,86077
react_kg_ccfce53ebed5e245,KG,18,17,24,10,6,6,3,4,95281,45084
react_kg_2600c5f4842fa220,KG,19,18,24,10,10,6,2,4,71933,17921
react_kg_b47f75d48f6bf6d3,KG,19,18,23,7,4,5,2,1,72300,25466
react_kg_aaee3b05ca875aec,KG,59,58,63,18,12,5,2,9,158044,84865
react_kg_6caa0c35ee58ab92,KG,35,34,45,17,11,8,4,0,143978,77250
react_kg_c8fb1b770dd886ad,KG,21,20,24,12,6,3,3,3,123630,64395
react_kg_2a0422420cae3d32,KG,44,43,49,14,9,6,2,2,155107,87140
react_kg_857a87cbc00fe4d2,KG,14,13,17,5,3,3,3,5,67025,18361
react_kg_c3a6ccda61f9f995,KG,48,47,48,9,6,1,2,19,204742,128789
react_kg_65e18190565f8d49,KG,33,32,48,14,9,10,4,6,117951,48523
react_kg_e30c15fb417a642d,KG,24,23,32,12,10,7,3,0,91730,28093
react_kg_937d127f1785f38b,KG,32,31,32,9,5,1,2,4,98345,43754
react_kg_cfca0b09ed4c71a2,KG,34,33,47,15,12,10,4,5,126235,55228
react_kg_9eafcb876f8ad08e,KG,24,23,33,13,10,7,4,1,85493,25947
react_kg_6a8b710e674e31d0,KG,21,20,24,11,6,3,3,1,73998,23173
react_kg_27ada77c3cd2e47b,KG,17,16,21,10,7,5,2,0,94409,43409
react_kg_19958cb83f58604e,KG,22,21,27,12,7,3,4,5,100687,39512
react_kg_8f9407557980477c,KG,12,11,22,6,4,6,4,0,86912,27916
react_kg_f7db16c832fea0ca,KG,16,15,20,7,4,3,3,1,69255,25699
react_kg_111e15c2824401e0,KG,25,24,34,11,5,7,4,2,152916,86053
react_kg_82bf0a7bf625126e,KG,12,11,22,7,4,3,6,2,68878,15909
react_kg_8194e56b0f65cb34,KG,27,26,36,11,6,6,4,10,134189,83382
react_kg_1e4c08a470fd8943,KG,16,15,32,9,7,8,5,1,91650,24439
react_kg_fee1eb8c61eab890,KG,35,34,56,14,9,10,10,0,151221,72569
react_kg_298fd8b9ba672fa3,KG,16,15,16,7,3,1,2,2,68298,24893
react_kg_36a432ca19ffd1ae,KG,14,13,23,8,5,5,4,0,74741,15615
react_kg_a28ffb3f8bb26211,KG,41,40,49,14,8,6,3,7,121443,58185
react_kg_946302083086538c,KG,40,39,52,11,8,8,3,8,184439,124295
react_kg_b224d8893e48a5b6,KG,20,19,27,9,4,5,4,1,100970,45474
react_kg_2f12fc89be7f0d0b,KG,11,10,11,7,4,1,2,0,66664,20824
react_kg_ed262f07379c1ebb,KG,32,31,53,18,12,11,5,2,111223,38438
react_kg_d3fd0010bf6a7f60,KG,36,35,42,13,7,7,2,4,144401,83671
react_kg_5dd838e7d81aaa64,KG,23,22,26,13,6,3,3,4,104325,44906
react_kg_e05aceb0bfb9d563,KG,35,34,57,13,8,11,6,6,154533,78587
react_kg_88db6cf0ed49d8f6,KG,24,23,46,8,5,9,6,23,102045,57711
react_kg_7be6b612d74597b9,KG,28,27,32,14,8,5,2,2,100556,40734
react_kg_47bdb51bc669e70a,KG,34,33,39,12,8,2,6,15,101221,49156
react_kg_37c22ee128b7782f,KG,36,35,36,9,5,1,2,15,75762,23655
react_kg_24e8444330237ae4,KG,28,27,32,10,8,3,4,10,134726,72199
react_kg_ca6d468fe2e85d11,KG,26,25,28,10,8,1,4,10,117609,67306
react_kg_92e6f9fac7992595,KG,23,22,23,10,7,1,2,0,84514,26710
react_kg_3f4af754968f5fbf,KG,22,21,40,9,6,8,6,4,100062,23859
react_kg_aa74701837aab069,KG,19,18,26,10,6,6,3,0,80436,19922
react_kg_316232a47efa1358,KG,39,38,48,15,10,10,2,5,126605,70385
react_kg_8ca81996cfc5ef56,KG,19,18,32,12,10,9,6,0,97992,36650
react_kg_0e1fb7f932f91af2,KG,20,19,26,6,5,3,4,4,91698,29800
react_kg_681c5b5a52648812,KG,18,17,24,8,6,5,3,0,94319,34027
react_kg_76830484de4b287a,KG,16,15,18,8,6,3,2,2,76437,27789
react_kg_3f013d958dfe632c,KG,22,21,22,8,4,1,2,9,76657,28807
react_kg_7b727fb5e8d10310,KG,20,19,22,7,4,2,3,6,64862,18799
react_kg_53829ead858e9e29,KG,38,37,43,9,4,4,4,12,130397,76516
react_kg_e4e80785bd8aaf97,KG,19,18,41,12,9,10,6,3,82856,22450
react_kg_65759c9e7129bfec,KG,33,32,68,13,8,17,5,4,146856,41581
react_kg_578e6dd91aa46025,KG,26,25,34,10,6,7,4,0,154135,86808
react_kg_b697a29ee0ff0883,KG,9,8,12,7,4,3,3,0,66794,21939
react_kg_0228b37e679860a5,KG,34,33,47,12,9,10,4,12,152722,94034
react_kg_fa3459bd37ee9c90,KG,13,12,36,6,4,8,8,1,87730,30875
react_kg_25628a7a3d976a49,KG,36,35,60,17,13,14,6,1,152691,74001
react_kg_3ab006d79f01a700,KG,13,12,20,9,6,6,3,0,53891,7759
react_kg_75e596a9704bd728,KG,18,17,26,11,6,6,3,0,79157,27624
react_kg_5bb683ecb374b0e6,KG,14,13,17,7,5,4,2,0,83083,31783
react_kg_e4140cdb7009bb7f,KG,6,5,8,4,5,2,3,1,58041,5927
react_kg_9424f9646c7f321e,KG,66,65,91,17,13,16,4,16,169601,89674
react_kg_b4b6739b9e3bf7ad,KG,18,17,22,9,7,4,3,3,78116,23369
react_kg_9941264d0be65767,KG,13,12,19,6,4,3,4,1,71710,17167
react_kg_c771ab7fbec82c0c,KG,35,34,43,18,13,9,2,6,166827,98509
react_kg_b8f3ca4e46e59aa3,KG,27,26,31,11,6,5,2,1,109048,54902
react_kg_d1857414a364d9fe,KG,32,31,63,13,8,14,8,1,133485,71609
react_kg_37ecd84e4d6e2aba,KG,26,25,47,16,9,9,7,9,95684,30769
react_kg_e47c3de02f042efa,KG,54,53,64,19,14,7,3,10,145465,70640
react_kg_4f43efd50ee01b1a,KG,32,31,45,13,8,13,3,6,110815,40136
react_kg_92b2c175b9bedf6a,KG,29,28,38,14,9,9,3,0,140843,74689
react_kg_aafa4a0352afd191,KG,14,13,36,16,13,7,8,0,74901,17127
react_kg_8e72d33f6cfb95a1,KG,37,36,56,17,13,12,4,3,136183,68590
react_kg_0d015522797db77a,KG,15,14,23,10,6,5,4,0,80072,23968
react_kg_bf2fb440e115d49a,KG,10,9,22,7,8,5,5,1,56360,11644
react_kg_9e9cd2b923dbff72,KG,15,14,25,9,5,4,6,3,201806,157670
react_kg_47ab0aa269472b98,KG,33,32,46,16,10,10,4,2,127737,60803
react_kg_10e286f86e6bb917,KG,18,17,31,7,4,6,5,0,78955,26598
react_kg_3fd757bce5df2287,KG,15,14,20,7,4,2,5,6,61838,16145
react_kg_9a5276ec8f79a89a,KG,72,71,107,16,11,15,6,43,216783,136216
react_kg_25ca17407dffcde1,KG,10,9,14,7,4,5,2,4,59708,11084
react_kg_34148d28e7119012,KG,33,32,44,14,10,9,3,11,106536,49411
react_kg_7f17cfa7c962a19f,KG,34,33,39,17,14,4,3,7,118784,55622
react_kg_6ec16afa995bafc6,KG,18,17,25,8,6,5,4,10,97124,39029
react_kg_1030431d7e2cb08d,KG,33,32,46,15,12,10,4,5,130566,57305
react_kg_f8979b376dea2215,KG,31,30,79,9,6,15,9,53,170631,110445
react_kg_7d826af96d497473,KG,15,14,23,8,7,7,3,6,61229,13494
react_kg_cee31909add288ca,KG,21,20,55,13,10,11,12,0,113235,43595
react_kg_7f5c68a63836b6b7,KG,27,26,40,14,9,6,5,0,154894,83517
react_kg_61b585aa2ae3831f,KG,37,36,42,17,8,4,4,13,130798,72339
react_kg_5fda78de99c0df93,KG,23,22,29,11,9,6,3,5,91951,32347
react_kg_45b02f90e336b83b,KG,24,23,32,13,8,6,3,3,108461,47789
react_kg_547fb7386dd6e687,KG,21,20,46,6,3,9,8,4,137228,74392
react_kg_2c85acf1f0daa588,KG,32,31,55,13,9,14,4,12,146055,83944
react_kg_473b89bdd48811ac,KG,10,9,12,6,3,2,3,0,56450,10694
react_kg_7c612efa3f17a0f1,KG,39,38,63,17,12,17,4,9,103322,32271
